airport,location
Ithaca Tompkins Regional Airport,Honshu
Itambacuri Airport,Bahia
Itokama Airport,Hawaii
Osaka International Airport,Rio de Janeiro
Itabuna Airport,Rio Grande do Sul
Hilo International Airport,Goiás
Itaperuna Airport,Sakhalin Oblast
Itaqui Airport,Niue
Itumbiara Airport,Indonesia
Iturup Airport,Papua New Guinea
Niue International Airport,Madagascar
Ilu Airport,New Zealand
Inus Airport,Montenegro
Ambanja Airport,Panama
Invercargill Airport,Finland
Hastings Municipal Airport,Alaska
Zhengzhou Shangjie Airport,Victoria
Huesca–Pirineos Airport,Zhejiang
Huslia Airport,Virginia
Horsham Airport,Haryana
Zhoushan Putuoshan Airport,Florida
Ingalls Field,Alabama
Hisar Airport,Taiwan
Homestead Air Reserve Base,Zabaykalsky Krai
Huntsville International Airport,Krasnoyarsk Krai
Hsinchu Air Base,Nevada
Chita International Airport,Queensland
Khatanga Airport,Michigan
Hawthorne Industrial Airport,Mongolia
Great Barrier Reef Airport,Xinjiang
Roscommon County–Blodgett Memorial Airport,New York
Khatgal Airport,Yaeyama Islands
Grodno Airport,Grenada
Grenoble–Isère Airport,California
Maurice Bishop International Airport,Idaho
Gansner Field,Taiwan
Gooding Municipal Airport,Bahia
Lyudao Airport,Ethiopia
Guanambi Airport,Río Negro
Ginir Airport,Indonesia
Dr. Arturo Umberto Illia Airport,New Mexico
Binaka Airport,Alaska
Grants-Milan Municipal Airport,Florida
Goodnews Airport,Turkey
Gainesville Regional Airport,Botswana
Şanlıurfa GAP Airport,Liguria
Ghanzi Airport,Ethiopia
Genoa Cristoforo Colombo Airport,Papua New Guinea
Robe Airport,Papua New Guinea
Gora Airport,Namibia
Talasea Airport,Papua New Guinea
Panguilemo Airport,Chile
Plastun Airport,Primorsky Krai
Catalão Airport,Goiás
Henry Tift Myers Airport,Georgia
Miami Executive Airport,Florida
Tambolaka Airport,Indonesia
Timbedra Airport,Mauritania
Gabriel Vargas Santos Airport,Colombia
Thimarafushi Airport,Thaa Atoll
Tommanggong Airport,Sabah
Tanah Merah Airport,Indonesia
Tumlingtar Airport,Nepal
Termez Airport,Uzbekistan
Tam Kỳ Airport,Vietnam
Tamale Airport,Ghana
Toamasina Airport,Madagascar
Tamana Airport,Kiribati
Tumeremo Airport,Venezuela
Tampere–Pirkkala Airport,Finland
Robert L. Bradshaw International Airport,Saint Kitts and Nevis
Suki Airport,Papua New Guinea
Samarkand International Airport,Uzbekistan
"Skien Airport, Geiteryggen",Norway
Kelly Field Annex,Texas
Lackland Air Force Base,Greece
"Thessaloniki Airport ""Macedonia""",Nepal
Surkhet Airport,Algeria
Skikda Airport,Alaska
Shaktoolik Airport,Scotland
Broadford Airfield,Guyana
Skeldon Airport,Norway
"Stokmarknes Airport, Skagen",Nigeria
Sadiq Abubakar III International Airport,North Macedonia
"Skopje ""Alexander the Great"" Airport",Lesotho
Sekake Airport,Ethiopia
Shakiso Airport,Denmark
Vojens Airport,Pakistan
Sialkot International Airport,Greece
Merrill Municipal Airport,Rio de Janeiro
Marromeu Airport,Odisha
Raroia Airport,Wisconsin
Røros Airport,Mozambique
Warroad International Memorial Airport,Tuamotus
Robinson River Airport,Norway
Santa Rosa Airport,Minnesota
Roseberth Airport,Northern Territory
Rock Sound International Airport,La Pampa
Rose Bay Water Airport,Queensland
Russian Mission Airport,Eleuthera Island
Rosario Seaplane Base,New South Wales
Abresso Airport,Alaska
Russell Municipal Airport,Washington
Ruston Regional Airport,Indonesia
Damazin Airport,Kansas
Rochester International Airport,Louisiana
Yeosu/Suncheon Airport,Sudan
Daly Waters Airport,Mayotte
Dzaoudzi–Pamandzi International Airport,Colombia
Codazzi Airport,Kazakhstan
Zhezkazgan Airport,Uruguay
Santa Bernardina International Airport,Chongqing
Amderma Airport,Northern Territory
Ames Municipal Airport,Madagascar
Ammaroo Airport,New Zealand
Ambatomainty Airport,Alabama
Ardmore Airport,Alaska
Angama Airstrip,South Carolina
Anniston Regional Airport,Pays de la Loire
Ted Stevens Anchorage International Airport,Chile
Anderson Regional Airport,Poitou-Charentes
Angers – Loire Airport,Alaska
Cerro Moreno International Airport,Republic of the Congo
Angoulême – Cognac International Airport,Turkey
Aniak Airport,Angola
Zanaga Airport,Madagascar
Etimesgut Air Base,Alaska
Andulo Airport,Mozambique
Antsirabato Airport,Maryland
Annette Island Airport,Indiana
Angoche Airport,Belgium
Club Makokola Airport,Somalia
Camooweal Airport,Pará
Carmelita Airport,Queensland
Mohammed V International Airport,Alsace
Obbia Airport,Somalia
Santana do Araguaia Airport,Pará
Clermont Airport,Papua New Guinea
Colmar – Houssen Airport,New Zealand
Iskushuban Airport,Cuba
Cameta Airport,Michigan
Chimbu Airport,Wisconsin
Coromandel Aerodrome,Mozambique
Ignacio Agramonte International Airport,Sonora
Houghton County Memorial Airport,New South Wales
Sparta/Fort McCoy Airport,Queensland
Caia Airport,Romania
Cananea National Airport,Colorado
Coonamble Airport,Minas Gerais
Coconut Island Airport,Poitou-Charentes
Mihail Kogălniceanu International Airport,New Hampshire
Stenkol Airport,Tocantins
Manti-Ephraim Airport,Queensland
Newcastle Airport,Cape Verde
RAAF Base Williamtown,Honshu
Miracema do Tocantins Airport,Nuevo León
Normanton Airport,Tonga
Agostinho Neto Airport,Virginia
Noto Airport,Indonesia
Del Norte International Airport,South Africa
Niuatoputapu Airport,Sri Lanka
NAS Oceana,Northern Territory
Ranai Airport,Sudan
Pilanesberg International Airport,Bavaria
Gregory Lake Seaplane Base,Sri Lanka
Numbulwar Airport,Papua New Guinea
En Nahud Airport,Colombia
Nuremberg Airport,Alaska
Castlereigh Reservoir Seaplane Base,Iran
Ponca City Regional Airport,Pennsylvania
Punta Gorda Airport,Paraná
Northeast Philadelphia Airport,Cambodia
Santos Dumont Airport,Federated States of Micronesia
Phnom Penh International Airport,Shandong
Pohnpei International Airport,Indonesia
Penglai Shahekou Airport,Sicily
Supadio Airport,Maine
Pantelleria Airport,Papua New Guinea
Princeton Municipal Airport,Maharashtra
Girua Airport,Republic of the Congo
Pune Airport,Florida
Pointe Noire Airport,Chile
Pensacola International Airport,Utah
Teniente Julio Gallardo Airport,Lithuania
Panguitch Municipal Airport,Denison
Panevėžys Air Base,Puducherry
North Texas Regional Airport,Pernambuco
Puducherry Airport,Rio Grande do Sul
Portage la Prairie/Southport Airport,Alberta
Inukjuak Airport,Manitoba
Port Simpson Water Aerodrome,Quebec
Aupaluk Airport,British Columbia
Pickle Lake Airport,Quebec
Pikangikum Airport,Ontario
Port-Menier Airport,Ontario
Peawanuck Airport,Quebec
Peterborough Airport,Ontario
Prince Rupert Airport,Ontario
Port Hawkesbury Airport,British Columbia
Pender Harbour Water Aerodrome,Nova Scotia
Powell River Airport,British Columbia
Puvirnituq Airport,British Columbia
Fort Chipewyan Airport,Quebec
Burns Lake Airport,Alberta
Muskoka Airport,British Columbia
Québec City Jean Lesage International Airport,Ontario
Anacortes Airport,Washington
Andre Maggi Airport,Mato Grosso
Otú Airport,Colombia
Ontong Java Airport,Solomon Islands
Oria Airport,Papua New Guinea
Ralph Wien Memorial Airport,Alaska
Ouagadougou Airport,Burkina Faso
Angads Airport,Morocco
Ouésso Airport,Republic of the Congo
Ouahigouya Airport,Burkina Faso
Oudtshoorn Airport,South Africa
Out Skerries Airport,Scotland
Oulu Airport,Finland
Oum Hadjer Airport,Chad
University of Oklahoma Westheimer Airport,Oklahoma
Batouri Airport,Cameroon
Jornalista Benedito Pimentel–Ourinhos State Airport,São Paulo
Man Airport,Marshall Islands
Moenjodaro Airport,Norway
Majkin Airport,Libya
"Mosjøen Airport, Kjærstad",Papua New Guinea
Mitiga International Airport,Western Australia
Moki Airport,Gabon
Shark Bay Airport,Democratic Republic of the Congo
Mouila Airport,Madagascar
Mbuji Mayi Airport,Namibia
Amborovy Airport,Western Australia
Mount Etjo Airport,Minnesota
Manjimup Airport,Buenos Aires
Jackson Municipal Airport,Mozambique
Miramar Airport,Lesbos
Maganja da Costa Airport,Indonesia
Mytilene International Airport,Region of Murcia
Tampa Padang Airport,Zimbabwe
Murcia–San Javier Airport,New Jersey
Howard AFB,Cameroon
Bali Airport,Nevada
Boulder City Municipal Airport,Sweden
Dala Airport,West Virginia
Mercer County Airport,Sarawak
Belaga Airport,California
Blythe Airport,Washington
Bellingham International Airport,Algeria
Mostépha Ben Boulaid Airport,England
Blackpool Airport,Denmark
Billund Airport,Farmingdale
Monmouth Executive Airport,Victoria
Benalla Airport,Iceland
Blönduós Airport,Peru
Huallaga Airport,Emilia-Romagna
Bologna Guglielmo Marconi Airport,Karnataka
Kempegowda International Airport,Queensland
Bollon Airport,Queensland
Blackwater Airport,California
Le Mans Arnage Airport,Honduras
Lamassa Airport,Papua New Guinea
Limón Airport,Marshall Islands
Lumi Airport,Sinaloa
Lae Airport,Sarawak
Fort Valley Federal International Airport,Scotland
Limbang Airport,Sicily
RAF Lossiemouth,Libya
Lampedusa Airport,South Africa
Marsa Brega Airport,Mississippi
Finsch Mine Airport,Oregon
Louisville Winston County Airport,Riau Islands
Klamath Falls Airport,Colombia
Letung Airport,Papua New Guinea
Lopéz de Micay Airport,Mozambique
Lake Murray Airport,Florida
Palma Airport,Epi Island
Palm Beach County Park Airport,Papua New Guinea
Konawaruk Airport,New Zealand
Kongiganak Airport,Guyana
Akiachak Airport,Alaska
Kitakyushu Airport,Alaska
Kalakaket Creek Air Station,Kyushu
Karluk Lake Seaplane Base,Alaska
Khok Kathiam Air Force Base,Alaska
"Kirkenes Airport, Høybuktmoen",Thailand
Kaikohe Aerodrome,Norway
Koolburra Airport,New Zealand
Krasnoselkup Airport,Queensland
Kaukura Airport,Yamalo-Nenets Autonomous Okrug
Kashan Airport,Tuamotus
Kentland Municipal Airport,Isfahan
Ekuk Airport,Indiana
Kikwit Airport,Alaska
Kikai Airport,Democratic Republic of the Congo
Kilkenny Airport,Satsunan Islands
Koh Kong Airport,Ireland
Dolac Airport,Colombia
Viveros Island Airport,New South Wales
Ivalo Airport,Northern Territory
Chibolo Airport,Ivanovo Oblast
Inverell Airport,Michigan
Inverway Airport,Honshu
Ivanovo Yuzhny Airport,Honshu
Gogebic–Iron County Airport,Bonin Islands
Iwami Airport,Texas
Marine Corps Air Station Iwakuni,Tripura
Hotan Airport,West Virginia
East Hampton Airport,Qinghai
Hateruma Airport,Victoria
Tri-State Airport,Texas
Huatugou Airport,Huntington (WV)
Hopetoun Airport,Turkey
Huntsville Municipal Airport,Colombia
Lawrence County Airpark,Huntsville
Hatay Airport,Northern Territory
Hato Corozal Airport,Puerto Rico
Redstone Army Airfield,Iowa
Humbert River Airport,Ethiopia
Humacao Airport,Indiana
Humboldt Municipal Airport,Guatemala
Humera Airport,Society Islands
Terre Haute International Airport,Vietnam
Huehuetenango Airport,Oklahoma
Huahine – Fare Airport,Botswana
Phu Bai International Airport,Maine
Gonaili Airstrip,Greenland
Gobabis Airport,Goa
Nuuk Airport,Nizhny Novgorod Oblast
Goa International Airport,Oklahoma
Nizhny Novgorod International Airport,Oregon
Guthrie–Edmond Regional Airport,Democratic Republic of the Congo
Gold Beach Municipal Airport,New London
Goma International Airport,Queensland
Groton–New London Airport,Uttar Pradesh
Goondiwindi Airport,Qinghai
Gorakhpur Airport,Ethiopia
Golmud Airport,New South Wales
Gore Airport,Sweden
Gosford Airport,Northern Territory
Göteborg Landvetter Airport,Bulgaria
Garoua International Airport,Greece
Gove Airport,Paraná
Gorna Oryahovitsa Airport,Queensland
Araxos Airport,Colombia
Tambao Airport,Burkina Faso
Aguenar – Hadj Bey Akhamok Airport,Algeria
São Tomé International Airport,São Tomé and Príncipe
Porto Trombetas Airport,Oriximiná
Tambor Airport,Costa Rica
Tamworth Airport,New South Wales
Timimoun Airport,Algeria
Tiom Airport,Indonesia
Thames Aerodrome,New Zealand
Jinan Yaoqiang International Airport,Shandong
Tanah Grogot Airport,Indonesia
Tin City LRRS Airport,Alaska
Alberto Delgado Airport,Cuba
New Tanegashima Airport,Ōsumi Islands
Toussus-le-Noble Airport,Île-de-France
Tangier Ibn Battouta Airport,Morocco
Tonghua Sanyuanpu Airport,Jilin
Satna Airport,Madhya Pradesh
Skyros Island National Airport,Egypt
St. Catherine International Airport,Alaska
Skwentna Airport,Mordovia
Saransk Airport,Ohio
Griffing Sandusky Airport,Pakistan
Sukkur Airport,Salta
Martín Miguel de Güemes International Airport,Iowa
Storm Lake Municipal Airport,Utah
Salt Lake City International Airport,Slovakia
Sliač Airport,Oregon
McNary Field,Saudi Arabia
Sulayel Airport,Arkansas
Smith Field,Vanua Lava
Vanua Lava Airport,Zambia
Solwezi Airport,Western Australia
Solomon Airport,New York
Adirondack Regional Airport,Oman
Salalah International Airport,Castile and León
Southwest Florida International Airport,Minnesota
Rouses Point Seaplane Base,Suncheon
Rotuma Airport,Florida
Juan Manuel Gálvez International Airport,New York
Ratnagiri Airport,Fiji
Frans Sales Lega Airport,Honduras
David Constantijn Saudale Airport,Maharashtra
Spirit Lake Municipal Airport,Indonesia
Rotterdam The Hague Airport,Indonesia
Raton Municipal Airport,Iowa
Rutland Plains Airport,Netherlands
Rottnest Island Airport,New Mexico
Saratov Tsentralny Airport,Queensland
Merty Merty Airport,Western Australia
Arua Airport,Saratov Oblast
Shahroud Airport,South Australia
Butembo Airport,Uganda
Yuruf Airport,Iran
Lee Airport,Peru
Tri-State Steuben County Airport,Antigua and Barbuda
Antwerp International Airport,Alaska
Andahuaylas Airport,Nebraska
V. C. Bird International Airport,Norway
Anvik Airport,Kansas
Ainsworth Regional Airport,Northern Territory
"Andøya Airport, Andenes",Papua New Guinea
Anthony Municipal Airport,Papua New Guinea
Angus Downs Airport,Thuringia
Aroa Airport,Chad
Annanberg Airport,Turkey
Leipzig–Altenburg Airport,Liaoning
Abou-Deïa Airport,Ohio
Anadolu Airport,Marche
Anshan Teng'ao Airport,Honshu
Lima Allen County Airport,Greece
Ancona Falconara Airport,Corrientes
Fremont County Airport,Liaoning
Tancredo Neves International Airport,Queensland
Cognac – Châteaubernard Air Base,Kansas
Claremont Municipal Airport,Denmark
Changhai Airport,New Mexico
Cloncurry Airport,Kerala
Blosser Municipal Airport,California
Sindal Airport,Greenland
Cavern City Air Terminal,Corrientes
Kannur International Airport,Chile
Chino Airport,Queensland
Nerlerit Inaat Airport,Chaco
Doctor Fernando Piragine Niveyro International Airport,Kansas
Chañaral Airport,Bahia
Cairns Airport,Texas
Nuguria Airstrip,Tuamotus
Nunchía Airport,Alaska
Nuiqsut Airport,Saudi Arabia
Hamedan Air Base,Florida
Nukutavake Airport,Alaska
Nulato Airport,California
Neom Bay Airport,South Australia
NOLF Saufley Field,Malakula
Nunapitchuk Airport,Papua New Guinea
Moffett Federal Airfield,Kenya
Nullabor Motel Airport,Washington
Norsup Airport,Yamalo-Nenets Autonomous Okrug
Nutuve Airport,Colombia
Nakuru Airport,Missouri
NAS Whidbey Island,Nicaragua
Novy Urengoy Airport,Uzbekistan
Benito Salas Airport,Norway
Nevada Municipal Airport,California
Senador Nilo Coelho Airport,North Carolina
Salgado Filho International Airport,California
Pope Field,Senegal
Brackett Field,Louisiana
Podor Airport,Missouri
Polk Army Airfield,Gabon
Poplar Bluff Municipal Airport,Iowa
Port-Gentil International Airport,Bolivia
Pocahontas Municipal Airport,Minas Gerais
Captain Nicolas Rojas Airport,Mozambique
Pedro Pereira dos Santos Airport,Papua New Guinea
Pemba Airport,Guatemala
Jacksons International Airport,Minas Gerais
Poptún Airport,Dominican Republic
Poços de Caldas Airport,Finland
Gregorio Luperón International Airport,Trinidad and Tobago
Pori Airport,Jamaica
Piarco International Airport,New York
Ken Jones Aerodrome,Slovakia
Quaqtaq Airport,Quebec
The Pas Airport,Quebec
Red Deer Regional Airport,Manitoba
Windsor International Airport,Alberta
Watson Lake Airport,Ontario
Yarmouth Airport,Yukon
April Point Water Aerodrome,Nova Scotia
Kenora Airport,British Columbia
Lethbridge Airport,Ontario
Greater Moncton International Airport,Alberta
Nakina Airport,New Brunswick
CFB Comox,Ontario
Regina International Airport,British Columbia
St. Thomas Municipal Airport,Saskatchewan
Thunder Bay International Airport,Ontario
Grande Prairie Airport,Ontario
Yorkton Municipal Airport,Alberta
North Battleford Airport,Saskatchewan
Bousso Airport,Chad
Ouanga Airport,Gabon
Tazadit Airport,Mauritania
Bekily Airport,Madagascar
Tolmachevo Airport,Novosibirsk Oblast
Asturias Airport,Asturias
