,airport,location,lat,lon
329,Chu Lai International Airport,Vietnam,15.4075042,108.7125534766665
330,Viracopos/Campinas International Airport,Campinas,-23.00644235,-47.144467467636474
331,Carora Airport,Venezuela,7.92892685,-72.5115059016951
332,Con Dao Airport,Vietnam,8.7328562,106.63148404906018
333,Victoria Regional Airport,Texas,28.8540778,-96.91812068031307
334,Southern California Logistics Airport,California,34.59973495,-117.38180814836139
335,Ovda Airport,Israel,31.9686014,34.7527132
336,"Fagernes Airport, Leirin",Norway,64.5731537,11.52803643954819
337,Glauber Rocha Airport,Bahia,-5.5300306500000005,-47.45773341667558
338,El Hierro Airport,Canary Islands,27.81366785,-17.885867218202
339,Dong Hoi Airport,Vietnam,17.5182692,106.59238604703785
340,Vidalia Regional Airport,Georgia,32.1928836,-82.37058462136382
341,Gobernador Edgardo Castello Airport,Río Negro,-40.86553825,-63.005614899750405
342,Tarapaina Airport,Solomon Islands,-9.7354344,162.8288542
343,Shively Field,Wyoming,41.4439801,-106.8281073
344,Rakanda Airport,Papua New Guinea,-5.6816069,144.2489081
345,Daru Airport,Papua New Guinea,-9.08674585,143.20806521313835
346,Enrique Malek International Airport,Panama,8.3913244,-82.4317605
347,Dazhou Heshi Airport,Sichuan,31.12818985,107.42846373059437
348,Dayton International Airport,Ohio,39.905318699999995,-84.22024542480268
349,Darwaz Airport,Afghanistan,38.4611015,70.8824997
350,Dalbandin Airport,Pakistan,28.8759393,64.401426
351,Al Alamain International Airport,Egypt,30.924079749999997,28.463955093358372
352,Baicheng Chang'an Airport,Jilin,45.50653505,123.0206903262807
353,Dhanbad Airport,Jharkhand,23.834079850000002,86.426677965843
354,Dutch Bay Seaplane Base,Sri Lanka,7.5554942,80.7137847
355,Debre Marqos Airport,Ethiopia,10.2116702,38.6521203
356,W. H. 'Bud' Barron Airport,Georgia,32.5611075,-82.982715
357,Dubbo City Regional Airport,New South Wales,-32.21401445,148.5789494228009
358,Debepare Airport,Papua New Guinea,-5.6816069,144.2489081
359,Dubuque Regional Airport,Iowa,42.4029462,-90.70701578057037
360,Arrabury Airport,Queensland,-26.6967835,141.049092
361,El Arish International Airport,Egypt,31.0742836,33.829171518733695
362,Adado Airport,Galguduud,6.09628635,46.637708371259194
363,Rabah Bitat Airport,Algeria,36.8305084,7.806624262090436
364,Apalachicola Regional Airport,Florida,29.7302356,-85.02964472072705
365,Arapoti Airport,Paraná,-24.4842187,-51.8148872
366,Merzbrück Airport,North Rhine-Westphalia,50.823022550000005,6.186776705200946
367,Arraias Airport,Tocantins,2.98,-60.0952988
368,Cayana Airstrip,Suriname,3.8987445,-55.5779688
369,Aranuka Airport,Kiribati,0.18514724999999999,173.63621470735308
370,Aalborg Airport,Denmark,57.0864352,9.868075521300991
371,Mala Mala Airport,South Africa,16.3625833,-3.5989953
372,Al Ain International Airport,United Arab Emirates,24.26567745,55.61647767102036
373,Anaco Airport,Venezuela,9.4298739,-64.47086334549915
374,Aji Pangeran Tumenggung Pranoto International Airport,East Kalimantan,0.7884397,116.2419977
375,Anapa Airport,Krasnodar Krai,45.002117,37.34476878284693
376,Aarhus Airport,Denmark,56.304542549999994,10.612849817576597
377,Cabinda Airport,Angola,-5.5976527,12.188206913567907
378,Cascavel Airport,Paraná,-4.1163888,-38.2508316
379,Wexford County Airport,Michigan,44.27409395,-85.42711008299115
380,Columbia Metropolitan Airport,South Carolina,33.9391164,-81.11413283860946
381,Carauari Airport,Amazonas,-4.87152,-66.8974991
382,Cagliari Elmas Airport,Sardinia,39.250583,9.057312580961453
383,Cà Mau Airport,Vietnam,9.1771181,105.1771971
384,Cairo International Airport,Egypt,30.1141148,31.424702260069452
385,Canaima Airport,Venezuela,6.2295804,-62.85459148224869
386,Akron-Canton Airport,Canton,40.9152061,-81.43992419328089
387,Campbeltown Airport,Scotland,55.4402788,-5.698378212255562
388,RAF Machrihanish,Bolivia,-17.0568696,-64.9912286
389,Camiri Airport,Guangdong,-20.00638975,-63.52727344590175
390,Guangzhou Baiyun International Airport,New Mexico,23.3926101,113.30128706876343
391,Clayton Municipal Airpark,Haiti,36.4466868,-103.1499534
392,San Luis Río Colorado Airport,Sonora,32.44478875,-114.79824262639679
393,Mount Aue Airport,Papua New Guinea,-6.23028875,144.66450798802197
394,Ua Huka Airport,Marquesas Islands,-8.936267650000001,-139.55388264695694
395,Suai Airport,East Timor,-9.301596100000001,125.28481019021041
396,Narsarsuaq Airport,Greenland,61.160465450000004,-45.42536298156452
397,Luau Airport,Angola,-10.7150314,22.23068893170469
398,Andersen Air Force Base,Guam,13.5811111,144.9244444
399,Ua Pou Airport,Marquesas Islands,-9.347734500000001,-140.07945544505213
400,Domingo Faustino Sarmiento Airport,San Juan,18.465299,-66.116666
401,Bouarfa Airport,Morocco,32.51741255,-1.9743397845880861
402,Samburu Airport,Kenya,0.5352211,37.5298046
403,Uaxactun Airport,Guatemala,17.3931494,-89.6348411
404,Mário de Almeida Franco Airport,Minas Gerais,-18.5264844,-44.1588654
405,Mabuiag Island Airport,Queensland,-9.9495927,142.19493860304968
406,Buin Airport,Papua New Guinea,-6.7298787,155.6838089
407,Yamaguchi Ube Airport,Honshu,33.9294836,131.27519368983468
408,Narrabri Airport,New South Wales,-30.3292011,149.8250651
409,L'Aquila–Preturo Airport,Abruzzo,42.3800073,13.309107258475391
410,Bella Coola Airport,British Columbia,52.3880537,-126.59178304809734
411,RAF Coningsby,England,53.0917759,-0.1707668097560935
412,Husum Schwesing Airport,Schleswig-Holstein,54.510250549999995,9.138561869600235
413,Monte Real Air Base,Portugal,39.8298057,-8.889240056227548
414,Sam Mbakwe Airport,Nigeria,5.42815505,7.2044700488782
415,Paya Lebar Air Base,South Africa,1.35891705,103.91279405310587
416,Rand Airport,Chile,-26.24224305,28.151092040046635
417,El Tor Airport,South Africa,50.5553028,15.0939972
418,Guemar Airport,Egypt,33.51191455,6.783520495258327
419,Elfin Cove Seaplane Base,Algeria,58.1952,-136.3474
420,Ellamar Seaplane Base,Alaska,60.8938889,-146.7036111
421,El Tigre Airport,Alaska,14.07816365,38.2721992990178
422,Ely Airport,Venezuela,39.294401,-114.84429
423,Wellsville Municipal Airport,Nevada,42.1093693,-77.98823282380053
424,East Midlands Airport,New York,52.828086549999995,-1.332669481847069
